batch	expt
OEL08_N703_S515	Y06	K5ERRY_48HPI
OEL08_N714_S517	Y07A	K5ERRY_48HPI
OEL08_N706_S520	Y06	K5ERRY_48HPI
OEL05_N728_S510	Y05A	K5ERRY_24HPI
OEL06_N710_S520	Y05B	K5ERRY_24HPI
OEL08_N712_S522	Y07A	K5ERRY_48HPI
OEL05_N727_S510	Y05A	K5ERRY_24HPI
OEL05_N721_S508	Y05A	K5ERRY_24HPI
OEL05_N729_S507	Y05B	K5ERRY_24HPI
OEL08_N705_S515	Y06	K5ERRY_48HPI
OEL08_N707_S516	Y06	K5ERRY_48HPI
OEL06_N703_S515	Y05B	K5ERRY_24HPI
OEL06_N706_S520	Y05B	K5ERRY_24HPI
OEL06_N702_S517	Y05B	K5ERRY_24HPI
OEL08_N706_S515	Y06	K5ERRY_48HPI
OEL08_N702_S518	Y06	K5ERRY_48HPI
OEL08_N703_S520	Y06	K5ERRY_48HPI
OEL05_N722_S503	Y05A	K5ERRY_24HPI
OEL08_N715_S522	Y07A	K5ERRY_48HPI
OEL08_N707_S521	Y06	K5ERRY_48HPI
OEL06_N707_S513	Y05B	K5ERRY_24HPI
OEL05_N719_S507	Y04	K5ERRY_UI
OEL08_N704_S516	Y06	K5ERRY_48HPI
OEL06_N705_S520	Y05B	K5ERRY_24HPI
OEL05_N724_S508	Y05A	K5ERRY_24HPI
OEL09_N715_S506	Y08	K5ERRY_24HPI
OEL09_N705_S510	Y07B	K5ERRY_48HPI
OEL09_N707_S507	Y07B	K5ERRY_48HPI
OEL10_N718_S520	Y08	K5ERRY_24HPI
OEL09_N712_S506	Y08	K5ERRY_24HPI
OEL09_N702_S511	Y07A	K5ERRY_48HPI
OEL09_N706_S510	Y07B	K5ERRY_48HPI
OEL09_N714_S505	Y08	K5ERRY_24HPI
OEL09_N711_S510	Y07B	K5ERRY_48HPI
OEL09_N714_S511	Y08	K5ERRY_24HPI
OEL10_N719_S516	Y08	K5ERRY_24HPI
OEL09_N702_S505	Y07A	K5ERRY_48HPI
OEL09_N710_S510	Y07B	K5ERRY_48HPI
OEL09_N701_S510	Y07A	K5ERRY_48HPI
OEL09_N704_S507	Y07B	K5ERRY_48HPI
OEL09_N714_S508	Y08	K5ERRY_24HPI
OEL10_N718_S515	Y08	K5ERRY_24HPI
OEL09_N702_S508	Y07A	K5ERRY_48HPI
OEL10_N716_S522	Y08	K5ERRY_24HPI
OEL09_N707_S503	Y07B	K5ERRY_48HPI
OEL09_N704_S503	Y07B	K5ERRY_48HPI
OEL09_N715_S502	Y08	K5ERRY_24HPI
OEL10_N719_S513	Y08	K5ERRY_24HPI
OEL09_N712_S507	Y08	K5ERRY_24HPI
OEL09_N705_S511	Y07B	K5ERRY_48HPI
OEL10_N716_S513	Y08	K5ERRY_24HPI
OEL09_N705_S505	Y07B	K5ERRY_48HPI
OEL10_N718_S517	Y08	K5ERRY_24HPI
OEL09_N704_S506	Y07B	K5ERRY_48HPI
OEL09_N703_S508	Y07A	K5ERRY_48HPI
OEL09_N711_S505	Y07B	K5ERRY_48HPI
OEL09_N714_S510	Y08	K5ERRY_24HPI
OEL09_N706_S505	Y07B	K5ERRY_48HPI
OEL09_N715_S507	Y08	K5ERRY_24HPI
OEL09_N702_S510	Y07A	K5ERRY_48HPI
OEL09_N707_S506	Y07B	K5ERRY_48HPI
OEL09_N706_S511	Y07B	K5ERRY_48HPI
OEL09_N711_S511	Y07B	K5ERRY_48HPI
OEL09_N701_S511	Y07A	K5ERRY_48HPI
OEL09_N710_S505	Y07B	K5ERRY_48HPI
OEL09_N710_S511	Y07B	K5ERRY_48HPI
OEL09_N701_S505	Y07A	K5ERRY_48HPI
OEL09_N711_S508	Y07B	K5ERRY_48HPI
OEL10_N718_S518	Y08	K5ERRY_24HPI
OEL09_N706_S508	Y07B	K5ERRY_48HPI
OEL09_N710_S508	Y07B	K5ERRY_48HPI
OEL09_N712_S503	Y07B	K5ERRY_48HPI
OEL10_N716_S516	Y08	K5ERRY_24HPI
OEL09_N707_S502	Y07B	K5ERRY_48HPI
OEL09_N701_S508	Y07A	K5ERRY_48HPI
OEL09_N705_S508	Y07B	K5ERRY_48HPI
OEL10_N716_S521	Y08	K5ERRY_24HPI
OEL09_N703_S505	Y07A	K5ERRY_48HPI
OEL09_N701_S503	Y07A	K5ERRY_48HPI
OEL10_N718_S521	Y08	K5ERRY_24HPI
OEL09_N712_S508	Y08	K5ERRY_24HPI
OEL09_N702_S502	Y07A	K5ERRY_48HPI
OEL09_N706_S503	Y07B	K5ERRY_48HPI
OEL09_N711_S503	Y07B	K5ERRY_48HPI
OEL09_N714_S502	Y08	K5ERRY_24HPI
OEL10_N718_S516	Y08	K5ERRY_24HPI
OEL09_N705_S503	Y07B	K5ERRY_48HPI
OEL10_N716_S518	Y08	K5ERRY_24HPI
OEL09_N703_S503	Y07A	K5ERRY_48HPI
OEL10_N719_S515	Y08	K5ERRY_24HPI
OEL09_N711_S507	Y07B	K5ERRY_48HPI
OEL09_N715_S511	Y08	K5ERRY_24HPI
OEL09_N704_S510	Y07B	K5ERRY_48HPI
OEL09_N710_S507	Y07B	K5ERRY_48HPI
OEL09_N705_S507	Y07B	K5ERRY_48HPI
OEL09_N702_S506	Y07A	K5ERRY_48HPI
OEL09_N707_S510	Y07B	K5ERRY_48HPI
OEL09_N712_S505	Y08	K5ERRY_24HPI
OEL09_N714_S506	Y08	K5ERRY_24HPI
OEL09_N707_S508	Y07B	K5ERRY_48HPI
OEL09_N701_S502	Y07A	K5ERRY_48HPI
OEL09_N710_S502	Y07B	K5ERRY_48HPI
OEL09_N702_S503	Y07A	K5ERRY_48HPI
OEL09_N714_S503	Y08	K5ERRY_24HPI
OEL09_N711_S502	Y07B	K5ERRY_48HPI
OEL10_N719_S517	Y08	K5ERRY_24HPI
OEL09_N706_S502	Y07B	K5ERRY_48HPI
OEL10_N718_S522	Y08	K5ERRY_24HPI
OEL09_N704_S508	Y07B	K5ERRY_48HPI
OEL09_N703_S506	Y07A	K5ERRY_48HPI
OEL09_N705_S502	Y07B	K5ERRY_48HPI
OEL10_N716_S515	Y08	K5ERRY_24HPI
OEL09_N715_S510	Y08	K5ERRY_24HPI
OEL09_N705_S506	Y07B	K5ERRY_48HPI
OEL09_N702_S507	Y07A	K5ERRY_48HPI
OEL09_N703_S502	Y07A	K5ERRY_48HPI
OEL10_N719_S518	Y08	K5ERRY_24HPI
OEL09_N704_S505	Y07B	K5ERRY_48HPI
OEL09_N704_S511	Y07B	K5ERRY_48HPI
OEL09_N707_S505	Y07B	K5ERRY_48HPI
OEL10_N716_S520	Y08	K5ERRY_24HPI
OEL09_N711_S506	Y07B	K5ERRY_48HPI
OEL09_N706_S506	Y07B	K5ERRY_48HPI
OEL09_N712_S510	Y08	K5ERRY_24HPI
OEL09_N707_S511	Y07B	K5ERRY_48HPI
OEL09_N701_S506	Y07A	K5ERRY_48HPI
OEL09_N710_S506	Y07B	K5ERRY_48HPI
OEL20_N701_S515	Y12A	K5ERRY_14DPI
OEL18_N718_S522	Y11	K5ERRY_7DPI
OEL20_N707_S518	Y12B	K5ERRY_14DPI
OEL19_N727_S503	Y12A	K5ERRY_14DPI
OEL17_N704_S506	Y10	K5ERRY_7DPI
OEL17_N707_S508	Y10	K5ERRY_7DPI
OEL17_N711_S503	Y11	K5ERRY_7DPI
OEL20_N706_S515	Y12B	K5ERRY_14DPI
OEL20_N704_S515	Y12B	K5ERRY_14DPI
OEL17_N711_S505	Y11	K5ERRY_7DPI
OEL20_N707_S517	Y12B	K5ERRY_14DPI
OEL17_N712_S507	Y11	K5ERRY_7DPI
OEL17_N714_S506	Y11	K5ERRY_7DPI
OEL17_N705_S507	Y10	K5ERRY_7DPI
OEL17_N704_S510	Y10	K5ERRY_7DPI
OEL17_N702_S506	Y10	K5ERRY_7DPI
OEL17_N711_S508	Y11	K5ERRY_7DPI
